id,date_start,date_end,category,mechanism,scope,scope_values,title,summary,expected_effect,announced_date,confidence,verified,source_url
clean-car-discount-rebate-phase,2021-07-01,2022-03-31,policy,demand,powertrain,BEV|PHEV,Clean Car Discount rebates begin,A rebate was paid on application to the first registered person of an eligible low-emission vehicle.,up,,documented,true,https://www.ird.govt.nz/topics/clean-car-discount-scheme
clean-car-discount-feebate,2022-04-01,2023-12-31,policy,demand,market,,Clean Car Discount becomes a full feebate,Rebates and fees were set by a vehicle's CO2 emissions; low-emission vehicles earned a rebate and high-emission vehicles incurred a fee.,mixed,,documented,true,https://www.ird.govt.nz/topics/clean-car-discount-scheme
clean-car-discount-2023-settings,2023-07-01,,policy,demand,market,,Clean Car Discount settings changed,Policy changes to the Clean Car Discount took effect from July 2023.,mixed,,documented,true,https://www.transport.govt.nz/area-of-interest/environment-and-climate-change/clean-cars
clean-car-discount-repeal,2023-12-31,,policy,demand,powertrain,BEV|PHEV,Clean Car Discount ends,Charges and rebates ended for vehicles registered after 11.59pm on 31 December 2023. The repeal Act passed all three readings under urgency on 14 December 2023 and received royal assent on 19 December.,pull_forward,2023-11-27,documented,true,https://www.nzta.govt.nz/vehicles/clean-car-programme/clean-car-discount-ended-on-31-december-2023
clean-car-fee-removal,2024-01-01,,policy,demand,segment,,Clean Car fees no longer apply,From 1 January 2024 no vehicle was subject to a Clean Car Discount fee. Expect a mirror-image effect: high-emission registrations deferred into January.,pull_forward,2023-12-14,documented,true,https://vehicleinspection.nzta.govt.nz/news/clean-car-discount-to-end-31-december-2023
clean-car-standard-start,2023-01-01,,regulatory,supply,market,,Clean Car Standard applies to importers,A CO2 standard applying to vehicle importers rather than buyers. It survived the repeal of the Clean Car Discount and continues to shape what importers choose to bring in.,mixed,,documented,true,https://www.transport.govt.nz/area-of-interest/environment-and-climate-change/clean-cars
ccs-targets-aligned-australia,2025-01-01,2029-12-31,regulatory,supply,market,,Clean Car Standard targets weakened to align with Australia,Annual CO2 targets for 2025-2029 were reset. Commercial vehicle targets start at 223 g/km in 2025 falling to 131 g/km by 2029. Credit lifespan extended from three to four years and credit transfer between new and used sectors permitted from 2026.,mixed,,documented,true,https://via.org.nz/via-the-blog-for-industry/government-decisions-on-the-clean-car-standard-key-updates
ccs-charges-cut,2026-01-01,2027-12-31,regulatory,supply,market,,Clean Car Standard charges cut by around 80 percent,The top rate for new vehicles fell from $67.50 to $15 per gram of CO2 and for used vehicles from $33.75 to $7.50. Existing credits protected from expiring before 31 December 2028. At the time 86 percent of importers faced a net charge.,up,2025-11-17,documented,true,https://www.1news.co.nz/2025/11/17/clean-car-standard-under-review-import-charges-lowered/
ccs-retained-after-review,2026-08-21,,regulatory,supply,market,,Clean Car Standard retained after review,The Government kept the Standard rather than scrapping it and will introduce separate targets for used imports. New settings take effect 1 January 2028 with officials reporting back early 2027. Current targets are 108 g/km for 2026 falling to 103 g/km in 2027.,mixed,2026-03-01,documented,true,https://www.beehive.govt.nz/release/government-retain-clean-vehicle-standard
ev-road-user-charges,2024-04-01,,tax,demand,powertrain,BEV|PHEV,Road user charges applied to light EVs and PHEVs,Light electric vehicles and plug-in hybrids became subject to RUC ending the previous exemption. BEVs pay a full rate and PHEVs a reduced rate.,down,,documented,true,https://www.transport.govt.nz/area-of-interest/environment-and-climate-change/clean-cars
heavy-ev-ruc,2027-07-01,,tax,demand,powertrain,BEV,Heavy electric vehicles begin paying RUC,Electric vehicles over 3500 kg become subject to road user charges.,down,,reported,true,https://www.calculate.co.nz/ruc-calculator.php
ruc-transition-announced,2025-08-06,,tax,demand,market,,Government announces transition of all light vehicles to RUC,At Building Nations 2025 the Transport Minister announced next steps to move New Zealand's 3.5 million light vehicles from fuel excise duty to electronic road user charges. Described by the Minister as the biggest change to road funding in 50 years.,mixed,,documented,true,https://www.beehive.govt.nz/release/next-steps-replacing-petrol-tax-electronic-road-user-charges
ruc-legislation-expected,2026-12-31,,tax,demand,market,,RUC legislation expected to pass,The Minister expects the enabling legislation to pass during 2026. No date has been set for the full transition of the light fleet.,none,,documented,true,https://www.nzta.govt.nz/vehicles/road-user-charges/replacing-fuel-tax-with-road-user-charges
ruc-open-for-business,2027-01-01,,tax,demand,market,,RUC system open to third-party providers,"By 2027 the RUC system is intended to be open for business with third-party providers offering payment services, electronic licences and post-pay billing.",mixed,,documented,true,https://www.itsinternational.com/news/new-zealand-road-user-charging-open-business-2027
fuel-excise-increase-scrapped,2027-01-01,,tax,demand,market,,Planned 12 cents per litre fuel excise increase scrapped,The Government scrapped a fuel excise increase planned for 2027 and delayed the next road user charge rise by a year.,up,2026-07-01,reported,true,https://www.carexpert.co.nz/car-news/petrol-tax-to-go-as-government-plans-rucs-for-all-light-vehicles-in-2027-report
fuel-excise-cut-2022,2022-03-14,2023-06-30,tax,demand,market,,Fuel excise duty cut by 25 cents a litre,"A temporary cut in response to fuel prices after Russia's invasion of Ukraine, extended three times before ending 30 June 2023. Petrol excise fell from 70.024 to 45.02 cents per litre.",up,,documented,true,https://nzta.govt.nz/about-us/transport-temporary-relief-package
ruc-discount-2022,2022-04-21,2023-01-31,tax,demand,powertrain,Diesel,Road user charges cut 36 percent,A temporary 36 percent reduction across all RUC rates as part of the cost-of-living package.,up,,documented,true,https://nzta.govt.nz/about-us/transport-temporary-relief-package
ruc-discount-2023,2023-03-01,2023-06-30,tax,demand,powertrain,Diesel,Road user charges cut 36 percent again,The RUC reduction was reinstated for a second window before standard rates resumed on 1 July 2023.,up,,documented,true,https://nzta.govt.nz/about-us/transport-temporary-relief-package
auckland-regional-fuel-tax-start,2018-07-01,,tax,demand,region,Auckland,Auckland regional fuel tax introduced,An additional 11.5 cents per litre on petrol and diesel applying only in the Auckland region.,down,,documented,true,https://nzta.govt.nz/vehicles/regional-fuel-tax
auckland-regional-fuel-tax-end,2024-06-30,,tax,demand,region,Auckland,Auckland regional fuel tax abolished,"The 11.5 cents per litre regional tax ended, removing an Auckland-only fuel cost that had run for six years.",up,2024-02-08,documented,true,https://nzta.govt.nz/vehicles/regional-fuel-tax
time-of-use-charging-act,2026-11-18,,policy,demand,region,Auckland,Time of use charging law comes into force,The Land Transport Management (Time of Use Charging) Amendment Act 2025 received royal assent on 18 November 2025 and comes into force 18 November 2026. Passed unanimously by all six parties.,none,2025-11-18,documented,true,https://consult.transport.govt.nz/policy/time-of-use-charging-regulations/
auckland-congestion-consultation,2026-11-01,,policy,demand,region,Auckland,Auckland congestion charging consultation opens,"Auckland Council narrowed proposals to three options with charges from $2 to $7 covering the city centre, a wider central cordon and central motorways. Final decision expected 2028 with introduction possible from 2030 or 2031.",none,2026-08-25,documented,true,https://ourauckland.aucklandcouncil.govt.nz/news/2026/08/explainer-auckland-council-is-exploring-time-of-use-charging-what-does-this-mean/
nz-general-election-2026,2026-11-07,,policy,demand,market,,General election,A change of government has twice reset vehicle policy within weeks of taking office. Treat the following six months as a period of elevated policy risk regardless of outcome.,none,,documented,false,
coalition-government-2023,2023-11-27,,policy,demand,market,,Change of government,"A National-ACT-NZ First coalition took office and moved on vehicle policy within its first weeks, repealing the Clean Car Discount and committing to end the Auckland regional fuel tax.",mixed,2023-10-14,documented,true,https://en.wikipedia.org/wiki/Land_Transport_(Clean_Vehicle_Discount_Scheme_Repeal)_Amendment_Act_2023
esc-new-light-vehicles,2015-07-01,,regulatory,supply,import_status,NZ New,Electronic stability control required on all new light vehicles,ESC became mandatory for all newly registered new light passenger and goods vehicles.,none,2014-02-26,documented,true,https://www.globalncap.org/news/new-zealand-makes-esc-mandatory-on-all-imports
esc-used-mc-class,2016-03-01,,regulatory,supply,import_status,Used Import,ESC required on used SUV and off-road imports,"Class MC vehicles entering New Zealand from 1 March 2016 had to have ESC fitted and working at border inspection, removing a slice of used import supply.",down,2014-02-26,documented,true,https://nzta.govt.nz/vehicles/importing-a-vehicle/2-complying-with-vehicle-standards-and-providing-evidence/used-vehicles-from-japan
esc-used-large-engine,2018-01-01,,regulatory,supply,import_status,Used Import,ESC required on used passenger cars over 2 litres,Used class MA passenger vehicles with engine capacity above 2 litres required ESC.,down,2014-02-26,reported,true,https://www.stuff.co.nz/ipad-editors-picks/9766945/Stability-control-for-all-imported-cars
esc-all-used-light,2020-03-01,,regulatory,supply,import_status,Used Import,ESC required on all remaining used light imports,The final stage of the ESC phase-in. VERIFY EXACT DATE: sources differ between 1 January and 1 March 2020.,down,2014-02-26,reported,false,https://www.stuff.co.nz/ipad-editors-picks/9766945/Stability-control-for-all-imported-cars
japan-emissions-code-2024,2024-04-30,,regulatory,supply,imported_from,JAPAN,Japanese emissions code requirements tightened,For vehicles border-inspected from 30 April 2024 the required standard depends on the emissions-code prefix on the Japanese export certificate. Industry sources report this effectively closed the import channel for many vehicles manufactured between roughly 2006 and 2012 while vehicles over 20 years old remain importable. Probably the largest structural change to used import supply in a decade.,down,,reported,true,https://www.jdmbuysell.com/learn/topics/importing-to-new-zealand/
toyota-drive-happy,2018-03-27,,marketing,measurement,make,TOYOTA,Toyota New Zealand moves to an agency model,The Drive Happy Project replaced dealer-owned stock and price negotiation with fixed national pricing and three distributor-held vehicle pools. Dealers became agents earning a fee. MEASUREMENT WARNING: this changes who is recorded as the registering party and how demonstrator stock enters the register.,mixed,,documented,true,https://www.toyota.co.nz/about-toyota/toyota-news/2018/april/the-drive-happy-project/
mercedes-agency-model,2022-01-01,,marketing,measurement,make,MERCEDES-BENZ,Mercedes-Benz moves to an agency model,Mercedes-Benz announced a shift to an agency sales model in selected markets including New Zealand. Same measurement caveat as Toyota. VERIFY EXACT NZ START DATE.,mixed,2021-01-01,reported,false,https://www.drivencarguide.co.nz/news/why-a-no-discount-business-model-is-a-no-brainer-for-some-kiwi-car-companies/
holden-commodore-discontinued,2019-12-10,,brand_exit,supply,make,HOLDEN,Holden Commodore nameplate discontinued,Holden announced the end of the Commodore after 41 years to focus on SUVs and utes.,down,,documented,true,https://en.wikipedia.org/wiki/Holden_Commodore
holden-brand-retired,2021-01-01,,brand_exit,supply,make,HOLDEN,Holden brand retired,General Motors announced on 17 February 2020 that Holden would be retired from sale in Australia and New Zealand. The marque was defunct from 1 January 2021. Holden remains a large share of the used fleet so the effect on stock and flow charts diverges sharply.,down,2020-02-17,documented,true,https://en.wikipedia.org/wiki/Holden
byd-nz-entry,2022-01-01,,brand_entry,supply,make,BYD,BYD enters New Zealand,"BYD began operating in New Zealand in 2022 distributed by Ateco Automotive, launching with the Atto 3 at the height of the Clean Car Discount. VERIFY EXACT LAUNCH MONTH.",up,,reported,false,https://evsandbeyond.co.nz/confirmed-byd-expands-nz-lineup-with-four-new-models/
chinese-brand-wave,2023-01-01,2025-12-31,brand_entry,supply,owner_country,China,Wave of Chinese brand entries,"Ten of the fourteen Chinese brands present in New Zealand launched within three years. Chinese brands now outnumber Japanese and Korean brands here for the first time: BYD, Chery, Geely, GWM, JAC, Jaecoo, LDV, Leapmotor, MG and Omoda, with XPeng, IM, Zeekr and Farizon confirmed.",up,,documented,true,https://www.stuff.co.nz/motoring/360823616/another-two-chinese-carmakers-confirm-new-zealand-launch
xpeng-im-zeekr-farizon-confirmed,2025-09-15,,brand_entry,supply,owner_country,China,Four more Chinese brands confirmed,"XPeng, IM, Zeekr and Farizon confirmed New Zealand launches.",up,,documented,true,https://www.stuff.co.nz/motoring/360823616/another-two-chinese-carmakers-confirm-new-zealand-launch
byd-range-expansion-2026,2026-01-01,,oem_launch,supply,make,BYD,BYD expands New Zealand range,"BYD launched the Atto 1, Atto 2, Sealion 5 and Sealion 8 in early 2026, adding to the Shark 6, Sealion 6, Sealion 7, Dolphin, Seal and Atto 3.",up,2025-10-07,documented,true,https://www.bydauto.co.nz/news/electrifying-growth-byd-introduces-four-new-vehicles-to-new-zealand
byd-atto3-thailand-sourcing,2026-06-01,,supply,mix,built_in,THAILAND,BYD Atto 3 sourcing shifts to Thailand,A run of Thai-built Atto 3 units replaced Chinese-built cars for New Zealand with a price drop. A clean worked example of brand origin and country of manufacture diverging within a single nameplate.,none,,reported,true,https://www.drivencarguide.co.nz/news/byd-nz-eyes-super-fast-atto-3-awd-but-theres-also-a-brand-new-model-for-next-year/
ukraine-invasion-fuel-shock,2022-02-24,,fuel,demand,powertrain,BEV|PHEV|Hybrid,Fuel prices spike after Russia's invasion of Ukraine,Fuel prices rose sharply worldwide. New Zealand fuel prices had already risen 13 percent by February 2022.,up,,documented,true,https://en.wikipedia.org/wiki/2022_New_Zealand_fuel_tax_subsidy
fuel-price-spike-2026,2026-03-01,,fuel,demand,powertrain,BEV|PHEV,Fuel price spike drives electrified registrations,Petrol and diesel prices rose sharply from late February 2026. Battery electric and plug-in hybrid passenger vehicles reached 36.7 percent combined share in July 2026 against 12.8 percent year-to-date a year earlier.,up,,documented,true,https://www.nzherald.co.nz/business/iran-conflict-eases-but-new-zealand-electric-vehicle-sales-continue-to-boom/premium/SH4TXQGZKNGTXBXBIW7YS6RXEY/
covid-border-closure,2020-03-19,2022-07-31,supply,supply,market,,COVID-19 border closure and supply disruption,Border closure and global logistics disruption constrained new vehicle supply and used import volumes. VERIFY REOPENING BOUNDARY.,down,,reported,false,
covid-level-4-lockdown,2020-03-25,2020-05-13,macro,demand,market,,First national COVID-19 lockdown,"Vehicle retailing effectively stopped. Expect a near-zero month followed by a catch-up spike, which will distort any year-on-year comparison through 2021.",down,,reported,false,
auckland-lockdown-2021,2021-08-17,2021-12-02,macro,demand,region,Auckland,Extended Auckland COVID-19 lockdown,A prolonged Auckland lockdown while much of the country reopened. Creates a regional divergence visible in registrations by region.,down,,reported,false,
semiconductor-shortage,2021-01-01,2022-12-31,supply,supply,import_status,NZ New,Global semiconductor shortage,Chip supply constraints limited new vehicle availability and lengthened delivery times. Registrations in this period reflect supply not demand.,down,,reported,false,
rbnz-tightening-cycle,,,macro,demand,market,,Reserve Bank tightening cycle,Rising official cash rate and vehicle finance costs. VERIFY START AND END DATES.,down,,inferred,false,
rbnz-easing-cycle,,,macro,demand,market,,Reserve Bank easing cycle,Falling interest rates improving vehicle affordability and fleet renewal appetite. VERIFY DATES.,up,,inferred,false,
weak-yen-period,,,macro,supply,imported_from,JAPAN,Weak yen lowers used import cost,A weaker yen reduces the landed cost of Japanese used imports and typically lifts volumes. Consider modelling as a continuous series rather than a discrete event.,up,,inferred,false,
honda-agency-model,,,marketing,measurement,make,HONDA,Honda New Zealand agency model,Honda operated an agency system in New Zealand before Toyota's 2018 move. VERIFY START DATE. Same measurement caveat.,mixed,,inferred,false,
tesla-nz-entry,,,brand_entry,supply,make,TESLA,Tesla establishes New Zealand presence,VERIFY LAUNCH DATE BEFORE ENABLING.,up,,inferred,false,
mg-saic-relaunch,,,brand_entry,supply,make,MG,MG relaunched under SAIC ownership,VERIFY DATE BEFORE ENABLING.,up,,inferred,false,
kgm-rename,,,brand_entry,mix,make,KGM,SsangYong renamed KG Mobility,"A pure renaming, not a market entry. If not handled in the brand registry aliases it will look like one brand dying and another being born.",none,,inferred,false,
takata-airbag-recall,,,regulatory,supply,import_status,Used Import,Takata airbag recall,A mass global recall that affected New Zealand used imports and deregistrations. VERIFY NZ-SPECIFIC DATES AND SCOPE.,down,,inferred,false,
toyota-diesel-mild-hybrid-2024,2024-02-01,,regulatory,mix,powertrain,Mild hybrid,Diesel mild hybrids enter the register,"Toyota New Zealand began delivering Hilux utes with a 48V mild-hybrid system on the 2.8-litre diesel in early 2024, and the register records them as diesel hybrids: a change in what the manufacturer fitted, not in what buyers chose.",up,2023-06-27,documented,true,https://www.toyota.co.nz/about-toyota/toyota-news/2023/june/hybrid-hilux-confirmed-for-new-zealand-early-2024/
