nzta_motive_power,powertrain,powertrain_detail,powertrain_group,electrified,has_combustion_engine,occurs_in_source,notes
PETROL,Petrol,Petrol,ICE,false,true,true,
DIESEL,Diesel,Diesel,ICE,false,true,true,
LPG,LPG,LPG,ICE,false,true,true,
CNG,CNG,CNG,ICE,false,true,true,
PETROL HYBRID,Hybrid,HEV,Hybrid,true,true,true,"Not externally chargeable. The main hybrid code: a third of in-scope rows in the last 12 months. Also contains mild hybrids that the code cannot separate. model_registry.csv motive_power_override rules move three nameplates to PETROL MILD HYBRID: NZ-new Suzuki Swift, Suzuki Fronx and Ford Puma (9,118 rows at 2026-08). Used-import Swifts stay here (1,043) because Japanese-market Swift hybrids include full hybrids a model string cannot separate. Other nameplates sold here as 48V or 24V mild hybrids are still in this code and not yet covered by a rule."
PETROL MILD HYBRID,Mild hybrid,MHEV,Hybrid,true,true,false,"Never written by NZTA. Assigned only by model_registry.csv motive_power_override rules, to nameplates NZTA records as PETROL HYBRID that are mild hybrids. If NZTA ever writes this code itself it maps the same way."
PETROL ELECTRIC HYBRID,Hybrid,HEV,Hybrid,true,true,true,"In concurrent use with PETROL HYBRID since 2018, not a rename. Mostly Nissan, NZ-new and used."
DIESEL HYBRID,Mild hybrid,MHEV,Hybrid,true,true,true,"JUDGEMENT CALL, made deliberately: NZTA's code says hybrid; this map says mild hybrid. From February 2024 almost every row is an NZ-new Toyota Hilux or Land Cruiser 2.8L diesel with a 48V mild-hybrid system (14.9k of 15.8k in-scope rows). Mapping them as Hybrid is faithful to the code but would show ute hybrid share jumping when nothing changed for the buyer. Cost of the call: about 350 in-scope rows are full hybrids (Hino 300 and Dutro, Isuzu Elf, Peugeot diesel hybrids) and are shown as mild hybrids. See events.csv:toyota-diesel-mild-hybrid-2024."
DIESEL ELECTRIC HYBRID,Hybrid,HEV,Hybrid,true,true,true,
PLUGIN PETROL HYBRID,PHEV,PHEV,Plug-in,true,true,true,
PLUGIN DIESEL HYBRID,PHEV,PHEV,Plug-in,true,true,true,
ELECTRIC [PETROL EXTENDED],PHEV,EREV,Plug-in,true,true,true,"Range-extended EV: battery drive plus a petrol generator. Classed PHEV because it carries an engine that burns fuel. About 900 rows (BMW i3 REx, Leapmotor). A documented judgement call."
ELECTRIC [DIESEL EXTENDED],PHEV,EREV,Plug-in,true,true,true,Same treatment as petrol-extended. 4 rows; none in scope.
ELECTRIC,BEV,BEV,Electric,true,false,true,CC_RATING is 0 on 86% of rows and a small non-zero value on the rest. Engine size comes from has_combustion_engine; never infer it from CC.
ELECTRIC FUEL CELL HYDROGEN,Hydrogen,FCEV,Other,true,false,true,
PLUG IN FUEL CELL HYDROGEN HYBRID,Hydrogen,Plug-in FCEV,Other,true,false,true,"Plug-in battery plus hydrogen fuel cell. Classed with hydrogen, not PHEV, because it burns no liquid fuel."
ELECTRIC FUEL CELL OTHER,Other,FCEV (other fuel),Other,true,false,true,Fuel cell with an unstated fuel. None in scope.
PLUG IN FUEL CELL OTHER HYBRID,Other,Plug-in FCEV (other fuel),Other,true,false,true,1 row; none in scope.
OTHER,Other,Other,Other,false,true,true,"About 115 in-scope rows. CC_RATING is non-zero on 93%, so treated as having an engine."
PLUG-IN PETROL HYBRID,PHEV,PHEV,Plug-in,true,true,false,Starter-kit spelling. The service writes PLUGIN PETROL HYBRID. Kept in case NZTA changes spelling.
PLUG-IN DIESEL HYBRID,PHEV,PHEV,Plug-in,true,true,false,Starter-kit spelling. The service writes PLUGIN DIESEL HYBRID.
HYDROGEN,Hydrogen,FCEV,Other,true,false,false,Starter-kit key. The service records fuel cells as ELECTRIC FUEL CELL HYDROGEN.
PETROL AND LPG,Petrol,Petrol,ICE,false,true,false,"Starter-kit key. Dual fuel is recorded as MOTIVE_POWER = PETROL with ALTERNATIVE_MOTIVE_POWER = LPG, and collapses to the primary fuel either way."
